Enrollment,First name,Last name,Connection 1,Connection 2,Connection 3,Connection 4,Connection 5
1,Kenneth,Rodriguez,1,13,41,33,65
2,Regina,Gonzalez,62,45,85,97,81
3,Steven,Booker,78,39,47,58,14
4,Harry,Munoz,68,75,39,95,38
5,Lawrence,Welch,60,38,25,59,73
6,Nicole,Keller,40,11,26,39,75
7,Edward,Gonzalez,50,79,92,27,8
8,Carlos,Austin,101,114,20,37,82
9,Michelle,Howard,38,71,51,15,75
10,Hannah,Gonzalez,2,111,81,62,8
11,Tina,Stewart,67,12,36,80,89
12,Valerie,Yates,23,30,103,113,104
13,Emily,Casey,101,7,44,25,17
14,Kathleen,Johnson,42,52,56,102,6
15,Janet,Black,103,96,26,47,84
16,Claudia,Phillips,104,47,84,8,15
17,Jessica,Ramirez,19,20,108,34,91
18,Elizabeth,Williams,81,43,8,93,14
19,James,Sullivan,30,63,58,47,2
20,Larry,Welch,106,18,47,27,90
21,Samantha,Sullivan,79,87,9,91,83
22,Joseph,Wilson,28,104,64,78,56
23,Nicholas,Lewis,21,75,85,35,43
24,Kristina,Bauer,34,96,87,110,45
25,Barry,Whitehead,108,87,14,73,26
26,Bryan,Ramos,114,112,93,80,97
27,James,Moody,6,100,89,23,4
28,Casey,Steele,17,20,30,11,13
29,Nicole,Clark,55,43,53,102,89
30,Sonya,Clark,61,106,69,14,1
31,Jennifer,Francis,37,40,83,92,59
32,Sheri,Hughes,89,48,106,66,78
33,Kyle,Moore,17,58,24,37,58
34,Cody,Franklin,65,90,52,47,80
35,Phillip,Hartman,45,32,47,7,102
36,Bradley,Williams,77,38,3,106,24
37,Brittney,Johnson,100,111,73,5,33
38,Luke,Holt,96,30,3,94,68
39,David,King,9,94,77,9,111
40,Mark,Scott,42,44,21,84,17
41,David,Walker,90,106,55,32,11
42,Jackson,Hernandez,75,90,47,6,6
43,Emily,Clark,112,54,57,30,48
44,Jason,Aguilar MD,21,41,17,51,89
45,Ralph,Booker,64,5,15,107,2
46,Tracy,Santos,12,55,87,52,92
47,Corey,Gonzales,67,27,39,25,82
48,Ryan,Jordan,75,96,105,113,63
49,John,Hernandez,102,61,17,91,104
50,Beth,Robinson,36,59,56,95,94
51,William,Rodriguez,11,15,100,70,43
52,Christine,Williams,85,87,82,17,68
53,Randy,Walker,27,21,22,28,16
54,Bailey,Simmons,11,97,84,49,15
55,Alicia,Fischer,71,66,9,91,75
56,Christina,Jones,37,11,49,49,49
57,Veronica,Avila,114,51,5,95,41
58,Martha,Conrad,40,76,56,36,62
59,Heather,Marsh,70,90,107,63,87
60,Cheryl,Byrd,96,6,66,14,100
61,Rita,Henderson,55,26,107,88,19
62,Alyssa,Hoffman,47,89,6,101,11
63,James,Stone,60,13,61,5,33
64,David,Lopez,47,29,103,4,62
65,Charles,Williams,70,63,27,104,85
66,Crystal,Morris,37,31,77,110,85
67,Jeffrey,Lynch,6,76,114,20,95
68,Kara,Rogers,20,2,85,114,83
69,Joseph,Sanchez,97,32,113,83,102
70,Carol,Hicks,11,58,39,64,39
71,Veronica,Nicholson,112,59,109,100,88
72,Todd,Randolph,71,38,15,105,73
73,Jacob,Miller,91,52,95,98,100
74,Monica,Davis,90,98,76,113,17
75,Daniel,Russell,57,24,58,53,14
76,Kendra,Gordon,39,23,68,64,13
77,Tony,Irwin,20,10,48,8,104
78,Taylor,Perez,95,3,94,90,35
79,Jonathan,Lloyd,64,63,59,77,75
80,Richard,Miller,32,97,84,106,10
81,Alexander,Garcia,50,102,89,86,42
82,Adam,Webster,72,9,42,100,1
83,Ernest,Turner,4,29,100,44,66
84,Lindsay,Hester,49,84,41,7,41
85,Crystal,Hanson,114,102,112,7,49
86,Harry,Green,52,65,93,3,24
87,Lisa,Richardson,24,52,84,49,91
88,Katherine,Acosta,16,82,40,75,85
89,Debra,Compton,77,84,110,62,97
90,Julie,Jackson,113,111,17,80,87
91,Jeanne,Sanchez,34,10,4,43,17
92,Charlene,Scott,2,106,87,5,56
93,Kevin,Jones,19,58,110,109,81
94,Rachel,Howard,73,16,61,109,6
95,Stephanie,Carrillo,61,67,64,16,14
96,Crystal,Moore,13,15,68,71,108
97,Kara,Ellis,98,53,22,19,33
98,Kimberly,Clark,65,54,86,33,20
99,Jason,Richardson,95,78,38,72,97
100,Jeremy,Henry,76,16,59,95,46
101,Phillip,Howard,67,72,36,58,3
102,Richard,Nolan,17,77,8,41,29
103,Kyle,Brock,65,51,108,53,27
104,Kari,Goodman,47,114,102,106,54
105,Henry,Nguyen,82,56,110,10,36
106,Brandon,Howard,90,38,56,100,61
107,Gerald,Nixon,68,111,101,83,31
108,Colleen,Thomas,36,22,19,41,34
109,Emma,Davis,66,20,64,80,13
110,Jessica,Schwartz,4,94,18,34,43
111,Barbara,Rodriguez,109,43,113,25,64
112,Eric,Wilson,23,5,85,113,114
113,Kylie,Ball,45,73,107,1,26
114,William,Watts,46,102,114,26,49
