Enrollment,First name,Last name,Wait
1,Kenneth, Rodriguez,15
2,Regina, Gonzalez,20
3,Steven, Booker,9
4,Harry, Munoz,2
5,Lawrence, Welch,18
6,Nicole, Keller,14
7,Edward, Gonzalez,19
8,Carlos, Austin,10
9,Michelle, Howard,8
10,Hannah, Gonzalez,12
11,Tina, Stewart,15
12,Valerie, Yates,6
13,Emily, Casey,19
14,Kathleen, Johnson,14
15,Janet, Black,17
16,Claudia, Phillips,9
17,Jessica, Ramirez,13
18,Elizabeth, Williams,11
19,James, Sullivan,12
20,Larry, Welch,3
21,Samantha, Sullivan,12
22,Joseph, Wilson,17
23,Nicholas, Lewis,12
24,Kristina, Bauer,19
25,Barry, Whitehead,8
26,Bryan, Ramos,19
27,James, Moody,19
28,Casey, Steele,18
29,Nicole, Clark,7
30,Sonya, Clark,14
31,Jennifer, Francis,15
32,Sheri, Hughes,12
33,Kyle, Moore,20
34,Cody, Franklin,17
35,Phillip, Hartman,9
36,Bradley, Williams,8
37,Brittney, Johnson,9
38,Luke, Holt,6
39,David, King,2
40,Mark, Scott,8
41,David, Walker,20
42,Jackson, Hernandez,17
43,Emily, Clark,15
44,Jason, Aguilar MD,19
45,Ralph, Booker,3
46,Tracy, Santos,3
47,Corey, Gonzales,6
48,Ryan, Jordan,3
49,John, Hernandez,9
50,Beth, Robinson,9
51,William, Rodriguez,3
52,Christine, Williams,12
53,Randy, Walker,1
54,Bailey, Simmons,15
55,Alicia, Fischer,18
56,Christina, Jones,9
57,Veronica, Avila,2
58,Martha, Conrad,11
59,Heather, Marsh,10
60,Cheryl, Byrd,8
61,Rita, Henderson,15
62,Alyssa, Hoffman,16
63,James, Stone,6
64,David, Lopez,3
65,Charles, Williams,15
66,Crystal, Morris,7
67,Jeffrey, Lynch,11
68,Kara, Rogers,5
69,Joseph, Sanchez,17
70,Carol, Hicks,20
71,Veronica, Nicholson,9
72,Todd, Randolph,4
73,Jacob, Miller,17
74,Monica, Davis,1
75,Daniel, Russell,19
76,Kendra, Gordon,19
77,Tony, Irwin,4
78,Taylor, Perez,9
79,Jonathan, Lloyd,18
80,Richard, Miller,17
81,Alexander, Garcia,1
82,Adam, Webster,5
83,Ernest, Turner,1
84,Lindsay, Hester,3
85,Crystal, Hanson,3
86,Harry, Green,17
87,Lisa, Richardson,11
88,Katherine, Acosta,17
89,Debra, Compton,5
90,Julie, Jackson,4
91,Jeanne, Sanchez,17
92,Charlene, Scott,1
93,Kevin, Jones,9
94,Rachel, Howard,4
95,Stephanie, Carrillo,7
96,Crystal, Moore,12
97,Kara, Ellis,15
98,Kimberly, Clark,8
99,Jason, Richardson,19
100,Jeremy, Henry,2
101,Phillip, Howard,12
102,Richard, Nolan,4
103,Kyle, Brock,14
104,Kari, Goodman,18
105,Henry, Nguyen,18
106,Brandon, Howard,12
107,Gerald, Nixon,19
108,Colleen, Thomas,10
109,Emma, Davis,15
110,Jessica, Schwartz,13
111,Barbara, Rodriguez,17
112,Eric, Wilson,12
113,Kylie, Ball,14
114,William, Watts,17
